topology,links,nodes,flows,avg,into sol,into time,into gap,vrp sol,vrp time,vrp gap,lower sol,lower time,lower gap,relax sol,relax time,relax gap,ctr sol,ctr time,ctr gap,h sol,h time,h gap
zoo_82_1315,152,82,1315,3.829657795,55,105.34,0,,,,55,0.72,0,41,0.38,25.45,59,0.05,6.78%,67,0.013,17.91%
zoo_82_1640,158,82,1640,3.936585366,61,68.83,0,,,,61,0.93,0,41,0.5,32.78,62,0.07,1.61%,66,0.018,7.58%
zoo_84_345,135,75,345,3.953623188,54,1.22,0,,,,54,0.2,0,36,0.09,33.33,66,0.01,18.18%,66,0.003,18.18%
zoo_84_689,157,81,689,4.005805515,57,6.17,0,,,,57,0.36,0,39,0.2,31.57,71,0.03,19.72%,70,0.008,18.57%
zoo_84_1033,167,84,1033,4.075508228,54,47.88,0,,,,54,1.15,0,42,0.33,22.22,73,0.04,26.03%,78,0.011,30.77%
zoo_84_1377,169,84,1377,4.1902687,51,175.76,0,,,,51,2.07,0,42,0.46,17.64,68,0.07,25.00%,71,0.015,28.17%
zoo_84_1722,169,84,1722,4.2485482,50,3602.84,8.9,,,,50,2.94,0,42,0.59,16,63,0.08,20.63%,67,0.020,25.37%
zoo_86_362,118,75,362,5.975138122,42,2.08,0,,,,41,0.18,2.38,35,0.1,16.66,52,0.01,19.23%,45,0.006,6.67%
zoo_86_723,117,75,723,6.597510373,35,23.58,0,,,,34,0.47,2.85,34,0.22,2.85,47,0.03,25.53%,41,0.013,14.63%
zoo_86_724,148,84,724,4.611878453,47,22.75,0,,,,47,0.66,0,41,0.22,12.76,60,0.03,21.67%,62,0.009,24.19%
zoo_86_1084,126,80,1084,6.616236162,39,11.47,0,,,,39,1.03,0,39,0.35,0,52,0.05,25.00%,49,0.021,20.41%
zoo_86_1445,127,84,1445,6.707958478,41,13.09,0,,,,41,1.37,0,41,0.47,0,55,0.07,25.45%,48,0.029,14.58%
zoo_86_1446,130,86,1446,3.915629322,43,35.17,0,,,,43,0.72,0,43,0.4,0,44,0.06,2.27%,50,0.014,14.00%
zoo_86_1806,134,86,1806,6.827242525,43,15.22,0,,,,43,2.36,0,43,0.63,0,55,0.10,21.82%,47,0.038,8.51%
zoo_88_379,101,66,379,3.424802111,43,1.49,0,,,,43,0.13,0,22,0.08,48.83,46,0.01,6.52%,50,0.003,14.00%
zoo_88_757,146,88,757,3.562747688,56,3.93,0,,,,56,0.35,0,44,0.21,21.42,62,0.02,9.68%,67,0.006,16.42%
zoo_88_758,129,88,758,3.709762533,53,6.51,0,,,,53,0.51,0,44,0.19,16.98,61,0.02,13.11%,61,0.008,13.11%
zoo_88_1135,147,88,1135,3.759471366,49,38.39,0,,,,49,0.6,0,44,0.33,10.2,58,0.04,15.52%,63,0.010,22.22%
zoo_88_1514,147,88,1514,3.883091149,45,53.28,0,,,,45,0.8,0,44,0.44,2.22,53,0.06,15.09%,52,0.014,13.46%
zoo_88_1518,131,88,1518,3.938076416,44,11.37,0,,,,44,0.75,0,44,0.41,0,49,0.06,10.20%,48,0.014,8.33%
zoo_88_1892,147,88,1892,3.94397463,45,48.77,0,,,,45,1.1,0,44,0.56,2.22,51,0.08,11.76%,49,0.017,8.16%
zoo_89_396,124,67,396,5.52020202,37,54.37,0,,,,35,0.31,5.4,26,0.11,29.72,49,0.01,24.49%,48,0.005,22.92%
zoo_89_792,153,83,792,5.727272727,49,65.54,0,,,,48,0.94,2.04,39,0.28,20.4,69,0.06,28.99%,69,0.013,28.99%
zoo_90_1188,156,83,1188,5.62037037,50,120.56,0,,,,48,0.79,4,38,0.4,24,63,0.07,20.63%,64,0.017,21.88%
zoo_90_1584,172,88,1584,5.703282828,57,192.32,0,,,,56,2.27,1.75,43,0.6,24.56,72,0.09,20.83%,70,0.023,18.57%
